nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;51;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;70;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;-;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;25;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;24;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;-;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;6;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2002;Tahun;112;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;81;ACEH
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;162;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;104;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;59;RIAU
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;48;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;70;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;77;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;196;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;61;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;-;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;12985;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;1100;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;987;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;1007;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;756;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;1038;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;596;BALI
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;199;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;86;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;27;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;12;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;73;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;12;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;140;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;35;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;132;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;49;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;72;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;-;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;26;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;28;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;-;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;6;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2003;Tahun;114;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;77;ACEH
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;167;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;102;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;62;RIAU
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;49;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;71;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;80;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;203;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;59;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;-;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;13006;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;1109;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;976;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;1020;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;739;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;1047;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;592;BALI
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;213;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;86;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;29;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;14;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;73;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;12;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;138;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;37;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;135;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;53;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;71;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;-;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;26;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;28;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;-;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;7;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2004;Tahun;114;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;72;ACEH
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;171;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;108;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;55;RIAU
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;58;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;113;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;79;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;188;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;65;"KEP. BANGKA BELITUNG"
