state,value
Lapland,0.180207
North Ostrobothnia,0.411150
Kainuu,0.074803
North Karelia,0.164085
North Savonia,0.247776
South Savonia,0.148975
South Ostrobothnia,0.191860
Central Ostrobothnia,0.069027
Ostrobothnia,0.181441
Pirkanmaa,0.509356
Central Finland,0.276196
Satakunta,0.221740
Southwest Finland,0.475543
South Karelia,0.130506
Päijät-Häme,0.201685
Kanta-Häme,0.173781
Uusimaa,1.638293
Kymenlaakso,0.177659
Aland,0.529214
Eastern Uusimaa,0.95300
