province,urban,rural
Kayah,72444,214294
Chin,99905,378785
Naypyitaw,376667,781700
Tanintharyi,337513,1068921
Kayin,329127,1173777
Kachin,590462,1052592
Mon,570432,1479850
Rakhine,354941,1744022
Magway,591396,3321315
Bago,1070346,3793109
Sagaing,909478,4410821
Shan,1394691,4420693
Mandalay,2137025,4008563
Ayeyarwaddy,873046,5302077
Yangon,5156646,2198429
