State	Code	District	Headquarters	Population	Area(km)	Density
Arunachal Pradesh	PA	Papum Pare	Yupia	176385	2875	61
Arunachal Pradesh		Siang	Pangin			
Arunachal Pradesh	TA	Tawang	Tawang Town	49950	2085	24
Arunachal Pradesh	TI	Tirap	Khonsa	111997	2362	47
Arunachal Pradesh	US	Upper Siang	Yingkiong	35289	6188	6
Arunachal Pradesh	UB	Upper Subansiri	Daporijo	83205	7032	12
Arunachal Pradesh	WK	West Kameng	Bomdila	87013	7422	12
Arunachal Pradesh	WS	West Siang	Along	112272	8325	13
Assam	BK	Baksa	Mushalpur	953773	2008	475
Assam	BP	Barpeta	Barpeta	1693190	3245	522
Assam	BS	Bishwanath	Bishwanath Chariali	580000	1100	527
Assam	BO	Bongaigaon	Bongaigaon	732639	1724	425
Assam	CA	Cachar	Silchar	1736319	3786	459
Assam	CD	Charaideo	Sonari			
Assam	CH	Chirang	Kajalgaon	481818	1975	244
Assam	DR	Darrang	Mangaldoi	908090	1849	491
Assam	DM	Dhemaji	Dhemaji	688077	3237	213
Assam	DU	Dhubri	Dhubri	1948632	2838	687
Assam	DI	Dibrugarh	Dibrugarh	1327748	3381	393
Assam	NC	Dima Hasao	Haflong	213529	4888	44
Assam	GP	Goalpara	Goalpara	1008959	1824	553
Assam	GG	Golaghat	Golaghat	1058674	3502	302
Assam	HA	Hailakandi	Hailakandi	659260	1327	497
Assam	HJ	Hojai	Hojai	347627		
Assam	JO	Jorhat	Jorhat	1091295	2851	383
Assam	KU	Kamrup	Amingaon	1517202	3480	436
Assam	KM	Kamrup Metropolitan	Guwahati	1260419	627	2010
Assam	KG	Karbi Anglong	Diphu	965280	10434	93
Assam	KR	Karimganj	Karimganj	1217002	1809	673
Assam	KJ	Kokrajhar	Kokrajhar	886999	3129	283
Assam	LA	Lakhimpur	North Lakhimpur	1040644	2277	457
Assam	MJ	Majuli	Garamur	167304	1250	134
Assam	MA	Morigaon	Marigaon	957853	1704	562
Assam	NN	Nagaon	Nagaon	2826006	3831	738
Assam	NB	Nalbari	Nalbari	769919	1009	763
Assam	ST	Sivasagar	Sibsagar	1150253	2668	431
Assam	SM	South Salmara-Mankachar	Hatsingimari			
Assam	SO	Sonitpur	Tezpur	1925975	5324	362
Assam	TI	Tinsukia	Tinsukia	1316948	3790	347
Assam	UD	Udalguri	Udalguri	832769	1676	497
Assam	WK	West Karbi Anglong	Hamren			
Bihar	AR	Araria	Araria	2806200	2829	992
Bihar	AR	Arwal	Arwal	700843	638	1098
Bihar	AU	Aurangabad	Aurangabad	2511243	3303	760
Bihar	BA	Banka	Banka	2029339	3018	672
Bihar	BE	Begusarai	Begusarai	2954367	1917	1540
Bihar	BG	Bhagalpur	Bhagalpur	3032226	2569	1180
Bihar	BJ	Bhojpur	Arrah	2720155	2473	1136
Bihar	BU	Buxar	Buxar	1707643	1624	1003
Bihar	DA	Darbhanga	Darbhanga	3921971	2278	1721
Bihar	EC	East Champaran	Motihari	5082868	3969	1281
Bihar	GA	Gaya	Gaya	4379383	4978	880
Bihar	GO	Gopalganj	Gopalganj	2558037	2033	1258
Bihar	JA	Jamui	Jamui	1756078	3099	567
Bihar	JE	Jehanabad	Jehanabad	1124176	1569	1206
Bihar	KM	Kaimur	Bhabua	1626900	3363	488
Bihar	KT	Katihar	Katihar	3068149	3056	1004
Bihar	KH	Khagaria	Khagaria	1657599	1486	1115
Bihar	KI	Kishanganj	Kishanganj	1690948	1884	898
Bihar	LA	Lakhisarai	Lakhisarai	1000717	1229	815
Bihar	MP	Madhepura	Madhepura	1994618	1787	1116
Bihar	MB	Madhubani	Madhubani	4476044	3501	1279
Bihar	MG	Munger	Munger	1359054	1419	958
Bihar	MZ	Muzaffarpur	Muzaffarpur	4778610	3173	1506
Bihar	NL	Nalanda	Bihar Sharif	2872523	2354	1220
Bihar	NW	Nawada	Nawada	2216653	2492	889
Bihar	PA	Patna	Patna	5772804	3202	1803
Bihar	PU	Purnia	Purnia	3273127	3228	1014
Bihar	RO	Rohtas	Sasaram	2962593	3850	763
Bihar	SH	Saharsa	Saharsa	1897102	1702	1125
Bihar	SM	Samastipur	Samastipur	4254782	2905	1465
Bihar	SR	Saran	Chhapra	3943098	2641	1493
Bihar	SP	Sheikhpura	Sheikhpura	634927	689	922
Bihar	SO	Sheohar	Sheohar	656916	443	1882
Bihar	ST	Sitamarhi	Sitamarhi	3419622	2199	1491
Bihar	SW	Siwan	Siwan	3318176	2219	1495
Bihar	SU	Supaul	Supaul	2228397	2410	919
Bihar	VA	Vaishali	Hajipur	3495021	2036	1717
Bihar	WC	West Champaran	Bettiah	3935042	5229	753
Chandigarh	CH	Chandigarh	Chandigarh	1054686	114	9252
Chhattisgarh		Balod	Balod	826165	3527	234
Chhattisgarh		Baloda Bazar	Baloda Bazar			
Chhattisgarh		Balrampur	Balrampur	598855	3806	157
Chhattisgarh	BA	Bastar	Jagdalpur	1302253	4030	87
Chhattisgarh		Bemetara	Bemetara	197035	2855	69
Chhattisgarh	BJ	Bijapur	Bijapur	229832	6562	35
Chhattisgarh	BI	Bilaspur	Bilaspur	1961922	5818	337
Chhattisgarh	DA	Dantewada	Dantewada	533638	3411	59
Chhattisgarh	DH	Dhamtari	Dhamtari	799199	2029	394
Chhattisgarh	DU	Durg	Durg	3343079	8542	391
Chhattisgarh		Gariaband	Gariaband			
Chhattisgarh	JC	Janjgir-Champa	Naila Janjgir	1620632	3848	421
Chhattisgarh	JA	Jashpur	Jashpur Nagar	852043	5825	146
Chhattisgarh	KW	Kabirdham(formerly Kawardha)	Kawardha	584667	4237	195
Chhattisgarh	KK	Kanker	Kanker	748593	6513	115
Chhattisgarh		Kondagaon	Kondagaon			
Chhattisgarh	KB	Korba	Korba	1206563	6615	183
Chhattisgarh	KJ	Koriya	Baikunthpur	659039	6578	100
Chhattisgarh	MA	Mahasamund	Mahasamund	1032275	4779	216
Chhattisgarh		Mungeli	Mungeli			
Chhattisgarh	NR	Narayanpur	Narayanpur	140206	6640	20
Chhattisgarh	RG	Raigarh	Raigarh	1493627	7068	211
Chhattisgarh	RP	Raipur	Raipur	4062160	13083	310
Chhattisgarh	RN	Rajnandgaon	Rajnandgaon	1537520	8062	191
Chhattisgarh	SK	Sukma	Sukma	249000	5636	49
Chhattisgarh	SJ	Surajpur	Surajpur	660280	6787	150
Chhattisgarh	SJ	Surguja	Ambikapur	420661	3265	150
Dadra and Nagar Haveli	DN	Dadra and Nagar Haveli	Silvassa	342853	704	698
Daman and Diu	DA	Daman	Daman	190855	72	2651
Daman and Diu	DI	Diu	Diu	52056	40	1301
Delhi	CD	Central Delhi	Daryaganj	578671	25	23149
Delhi	ED	East Delhi	Preet Vihar	1707725	440	26683
Delhi	ND	New Delhi	Connaught Place	133713	22	3820
Delhi	NO	North Delhi	Sadar Bazaar	883418	59	14973
Delhi	NE	North East Delhi	Shahdara	2240749	52	37346
Delhi	NW	North West Delhi	Kanjhawala	3651261	130	8298
Delhi		Shahdara	Shahdara			
Delhi	SD	South Delhi	Saket	2733752	250	10935
Delhi		South East Delhi	Defence Colony			
Delhi	SW	South West Delhi	Vasant Vihar	2292363	395	5445
Delhi	WD	West Delhi	Rajouri Garden	2531583	112	19625
Goa	NG	North Goa	Panaji	817761	1736	471
Goa	SG	South Goa	Margao	639962	1966	326
Gujarat	AH	Ahmedabad	Ahmedabad	7208200	8707	890
Gujarat	AM	Amreli	Amreli	1513614	6760	205
Gujarat	AN	Anand	Anand	2090276	2942	711
Gujarat	AR	Aravalli	Modasa	1051746	3217	327
Gujarat	BK	Banaskantha	Palanpur	3116045	12703	290
Gujarat	BR	Bharuch	Bharuch	1550822	6524	238
Gujarat	BV	Bhavnagar	Bhavnagar	2877961	11155	288
Gujarat		Botad	Botad	656005	2564	256
Gujarat		Chhota Udaipur	Chhota Udaipur	1071831	3237	331
Gujarat	DA	Dahod	Dahod	2126558	3642	582
Gujarat	DG	Dang	Ahwa	226769	1764	129
Gujarat		Devbhoomi Dwarka	Khambhalia	752484	5684	132
Gujarat	GA	Gandhinagar	Gandhinagar	1387478	649	660
Gujarat		Gir Somnath	Veraval	1217477	3754	324
Gujarat	JA	Jamnagar	Jamnagar	2159130	14125	153
Gujarat	JU	Junagadh	Junagadh	2742291	8839	310
Gujarat	KH	Kheda	Nadiad	2298934	4215	541
Gujarat	KA	Kutch	Bhuj	2090313	45652	46
Gujarat	MH	Mahisagar	Lunavada	994624	2500	398
Gujarat	MA	Mehsana	Mehsana	2027727	4386	462
Gujarat		Morbi	Morbi	960329	4871	197
Gujarat	NR	Narmada	Rajpipla	590379	2749	214
Gujarat	NV	Navsari	Navsari	1330711	2211	602
Gujarat	PM	Panchmahal	Godhra	2388267	5219	458
Gujarat	PA	Patan	Patan	1342746	5738	234
Gujarat	PO	Porbandar	Porbandar	586062	2294	255
Gujarat	RA	Rajkot	Rajkot	3157676	11203	282
Gujarat	SK	Sabarkantha	Himatnagar	2427346	7390	328
Gujarat	ST	Surat	Surat	4996391	4327	653
Gujarat	SN	Surendranagar	Surendranagar	1755873	10489	167
Gujarat	TA	Tapi	Vyara	806489	3435	249
Gujarat	VD	Vadodara	Vadodara	3639775	7794	467
Gujarat	VL	Valsad	Valsad	1703068	3034	561
Haryana	AM	Ambala	Ambala	1136784	1569	722
Haryana	BH	Bhiwani	Bhiwani	1629109	5140	341
Haryana		Charkhi Dadri	Charkhi Dadri			
Haryana	FR	Faridabad	Faridabad	1798954	783	2298
Haryana	FT	Fatehabad	Fatehabad	941522	2538	371
Haryana	GU	Gurgaon	Gurgaon	1514085	2760	1241
Haryana	HI	Hissar	Hissar	1742815	3788	438
Haryana	JH	Jhajjar	Jhajjar	956907	1868	522
Haryana	JI	Jind	Jind	1332042	2702	493
Haryana	KT	Kaithal	Kaithal	1072861	2799	467
Haryana	KR	Karnal	Karnal	1506323	2471	598
Haryana	KU	Kurukshetra	Kurukshetra	964231	1530	630
Haryana	MA	Mahendragarh	Narnaul	921680	1900	485
Haryana	MW	Nuh	Nuh	1089406	1765	729
Haryana	PW	Palwal	Palwal	1040493	1367	761
Haryana	PK	Panchkula	Panchkula	558890	816	622
Haryana	PP	Panipat	Panipat	1202811	1250	949
Haryana	RE	Rewari	Rewari	896129	1559	562
Haryana	RO	Rohtak	Rohtak	1058683	1668	607
Haryana	SI	Sirsa	Sirsa	1295114	4276	303
Haryana	SNP	Sonipat	Sonipat	1480080	2260	697
Haryana	YN	Yamuna Nagar	Yamuna Nagar	1214162	1756	687
Himachal Pradesh	BI	Bilaspur	Bilaspur	382056	1167	327
Himachal Pradesh	CH	Chamba	Chamba	518844	6528	80
Himachal Pradesh	HA	Hamirpur	Hamirpur	454293	1118	406
Himachal Pradesh	KA	Kangra	Dharamshala	1507223	5739	263
Himachal Pradesh	KI	Kinnaur	Reckong Peo	84298	6401	13
Himachal Pradesh	KU	Kullu	Kullu	437474	5503	79
Himachal Pradesh	LS	Lahaul and Spiti	Keylong	31528	13835	2
Himachal Pradesh	MA	Mandi	Mandi	999518	3950	253
Himachal Pradesh	SH	Shimla	Shimla	813384	5131	159
Himachal Pradesh	SI	Sirmaur	Nahan	530164	2825	188
Himachal Pradesh	SO	Solan	Solan	576670	1936	298
Himachal Pradesh	UNA	Una	Una	521057	1540	328
Jammu and Kashmir	AN	Anantnag	Anantnag	1070144	2853	375
Jammu and Kashmir	BPR	Bandipora	Bandipore	385099	3010	128
Jammu and Kashmir	BR	Baramulla	Baramulla	1015503	3329	305
Jammu and Kashmir	BD	Badgam	Badgam	735753	1406	537
Jammu and Kashmir	DO	Doda	Doda	409576	11691	79
Jammu and Kashmir	GB	Ganderbal	Ganderbal	297003	258	1151
Jammu and Kashmir	JA	Jammu	Jammu	1526406	3097	596
Jammu and Kashmir	KR	Kargil	Kargil	143388	14036	10
Jammu and Kashmir	KT	Kathua	Kathua	615711	2651	232
Jammu and Kashmir	KW	Kishtwar	Kishtwar	230696	7737	30
Jammu and Kashmir	KG	Kulgam	Kulgam	422786	457	925
Jammu and Kashmir	KU	Kupwara	Kupwara	875564	2379	368
Jammu and Kashmir	LE	Leh	Leh	147104	45110	3
Jammu and Kashmir	PO	Poonch	Poonch	476820	1674	285
Jammu and Kashmir	PU	Pulwama	Pulwama	570060	1398	598
Jammu and Kashmir	RA	Rajouri	Rajouri	619266	2630	235
Jammu and Kashmir	RB	Ramban	Ramban	283313	1330	213
Jammu and Kashmir	RS	Reasi	Reasi	314714	1710	184
Jammu and Kashmir	SB	Samba	Samba	318611	913	318
Jammu and Kashmir	SH	Shopian	Shupiyan	265960	312	852
Jammu and Kashmir	SR	Srinagar	Srinagar	1269751	2228	703
Jammu and Kashmir	UD	Udhampur	Udhampur	555357	4550	211
Jharkhand	BO	Bokaro	Bokaro	2061918	2861	716
Jharkhand	CH	Chatra	Chatra	1042304	3700	275
Jharkhand	DE	Deoghar	Deoghar	1491879	2479	602
Jharkhand	DH	Dhanbad	Dhanbad	2682662	2075	1284
Jharkhand	DU	Dumka	Dumka	1321096	4404	300
Jharkhand	ES	East Singhbhum	Jamshedpur	2291032	3533	648
Jharkhand	GA	Garhwa	Garhwa	1322387	4064	327
Jharkhand	GI	Giridih	Giridih	2445203	4887	497
Jharkhand	GO	Godda	Godda	1311382	2110	622
Jharkhand	GU	Gumla	Gumla	1025656	5327	193
Jharkhand	HA	Hazaribag	Hazaribag	1734005	4302	403
Jharkhand	JA	Jamtara	Jamtara	790207	1802	439
Jharkhand	KH	Khunti	Khunti	530299	2467	215
Jharkhand	KO	Koderma	Koderma	717169	1312	427
Jharkhand	LA	Latehar	Latehar	725673	3630	200
Jharkhand	LO	Lohardaga	Lohardaga	461738	1494	310
Jharkhand	PK	Pakur	Pakur	899200	1805	498
Jharkhand	PL	Palamu	Daltonganj	1936319	5082	381
Jharkhand	RM	Ramgarh	Ramgarh	949159	1212	684
Jharkhand	RA	Ranchi	Ranchi	2912022	7974	557
Jharkhand	SA	Sahibganj	Sahebganj	1150038	1599	719
Jharkhand	SK	Seraikela Kharsawan	Seraikela	1063458	2725	390
Jharkhand	SI	Simdega	Simdega	599813	3750	160
Jharkhand	WS	West Singhbhum	Chaibasa	1501619	7186	209
Karnataka	BK	Bagalkot	Bagalkot	1890826	6583	288
Karnataka	BL	Ballari	Ballari	2532383	8439	300
Karnataka	BG	Belagavi	Belagavi	4778439	13415	356
Karnataka	BR	Bangalore Rural	Bengaluru	987257	2239	441
Karnataka	BN	Bangalore	Bengaluru	9588910	2190	4378
Karnataka	BD	Bidar	Bidar	1700018	5448	312
Karnataka	CJ	Chamarajnagar	Chamarajanagar	1020962	5102	200
Karnataka	CK	Chikkaballapur	Chikkaballapur	1254377	4208	298
Karnataka	CK	Chikkamagaluru	Chikmagalur	1137753	7201	158
Karnataka	CT	Chitradurga	Chitradurga	1660378	8437	197
Karnataka	DK	Dakshina Kannada	Mangaluru	2083625	4559	457
Karnataka	DA	Davanagere	Davangere	1946905	5926	329
Karnataka	DH	Dharwad	Dharwad	1846993	4265	434
Karnataka	GA	Gadag	Gadag-Betageri	1065235	4651	229
Karnataka	HS	Hassan	Hassan	1776221	6814	261
Karnataka	HV	Haveri	Haveri	1598506	4825	331
Karnataka	GU	Kalaburagi	Kalaburagi	2564892	10990	233
Karnataka	KD	Kodagu	Madikeri	554762	4102	135
Karnataka	KL	Kolar	Kolar	1540231	4012	384
Karnataka	KP	Koppal	Koppal	1391292	5565	250
Karnataka	MA	Mandya	Mandya	1808680	4961	365
Karnataka	MY	Mysuru	Mysuru	2994744	6854	437
Karnataka	RA	Raichur	Raichur	1924773	6839	228
Karnataka	RM	Ramanagara	Ramanagara	1082739	3573	303
Karnataka	SH	Shivamogga	Shivamogga	1755512	8495	207
Karnataka	TU	Tumakuru	Tumakuru	2681449	10598	253
Karnataka	UD	Udupi	Udupi	1177908	3879	304
Karnataka	UK	Uttara Kannada	Karwar	1353299	10291	132
Karnataka	BJ	Vijayapura	Vijayapura	2175102	10517	207
Karnataka	YG	Yadgir	Yadgir	1172985	5225	224
Kerala	AL	Alappuzha	Alappuzha	2121943	1414	1501
Kerala	ER	Ernakulam	Kakkanad	3279860	2951	1069
Kerala	ID	Idukki	Painavu	1107453	4479	254
Kerala	KN	Kannur	Kannur	2525637	2966	852
Kerala	KS	Kasaragod	Kasaragod	1302600	1992	654
Kerala	KL	Kollam	Kollam	2629703	2498	1056
Kerala	KT	Kottayam	Kottayam	1979384	2203	896
Kerala	KZ	Kozhikode	Kozhikode	3089543	2345	1318
Kerala	MA	Malappuram	Malappuram	4110956	3550	1058
Kerala	PL	Palakkad	Palakkad	2810892	4480	627
Kerala	PT	Pathanamthitta	Pathanamthitta	1195537	2462	453
Kerala	TS	Thrissur	Thrissur	3110327	3032	1026
Kerala	TV	Thiruvananthapuram	Thiruvananthapuram	3307284	2192	1509
Kerala	WA	Wayanad	Kalpetta	816558	2131	383
Lakshadweep	LD	Lakshadweep	Kavaratti	64429	32	2013
Madhya Pradesh	AG	Agar Malwa	Agar			
Madhya Pradesh	AL	Alirajpur	Alirajpur	728677	3182	229
Madhya Pradesh	AP	Anuppur	Anuppur	749521	3747	200
Madhya Pradesh	AS	Ashok Nagar	Ashok Nagar	844979	4674	181
Madhya Pradesh	BL	Balaghat	Balaghat	1701156	9229	184
Madhya Pradesh	BR	Barwani	Barwani	1385659	5432	256
Madhya Pradesh	BE	Betul	Betul	1575247	10043	157
Madhya Pradesh	BD	Bhind	Bhind	1703562	4459	382
Madhya Pradesh	BP	Bhopal	Bhopal	2368145	2772	854
Madhya Pradesh	BU	Burhanpur	Burhanpur	756993	3427	221
Madhya Pradesh	CT	Chhatarpur	Chhatarpur	1762857	8687	203
Madhya Pradesh	CN	Chhindwara	Chhindwara	2090306	11815	177
Madhya Pradesh	DM	Damoh	Damoh	1263703	7306	173
Madhya Pradesh	DT	Datia	Datia	786375	2694	292
Madhya Pradesh	DE	Dewas	Dewas	1563107	7020	223
Madhya Pradesh	DH	Dhar	Dhar	2184672	8153	268
Madhya Pradesh	DI	Dindori	Dindori	704218	7427	94
Madhya Pradesh	GU	Guna	Guna	1240938	6485	194
Madhya Pradesh	GW	Gwalior	Gwalior	2030543	5465	445
Madhya Pradesh	HA	Harda	Harda	570302	3339	171
Madhya Pradesh	HO	Hoshangabad	Hoshangabad	1240975	6698	185
Madhya Pradesh	IN	Indore	Indore	3272335	3898	839
Madhya Pradesh	JA	Jabalpur	Jabalpur	2460714	5210	472
Madhya Pradesh	JH	Jhabua	Jhabua	1024091	6782	285
Madhya Pradesh	KA	Katni	Katni	1291684	4947	261
Madhya Pradesh	EN	East Nimar	Khandwa	1309443	7349	178
Madhya Pradesh	WN	West Nimar	Khargone	1872413	8010	233
Madhya Pradesh	ML	Mandla	Mandla	1053522	5805	182
Madhya Pradesh	MS	Mandsaur	Mandsaur	1339832	5530	242
Madhya Pradesh	MO	Morena	Morena	1965137	4991	394
Madhya Pradesh	NA	Narsinghpur	Narsinghpur	1092141	5133	213
Madhya Pradesh	NE	Neemuch	Neemuch	825958	4267	194
Madhya Pradesh	PA	Panna	Panna	1016028	7135	142
Madhya Pradesh	RS	Raisen	Raisen	1331699	8466	157
Madhya Pradesh	RG	Rajgarh	Rajgarh	1546541	6143	251
Madhya Pradesh	RL	Ratlam	Ratlam	1454483	4861	299
Madhya Pradesh	RE	Rewa	Rewa	2363744	6314	374
Madhya Pradesh	SG	Sagar	Sagar	2378295	10252	272
Madhya Pradesh	ST	Satna	Satna	2228619	7502	297
Madhya Pradesh	SR	Sehore	Sehore	1311008	6578	199
Madhya Pradesh	SO	Seoni	Seoni	1378876	8758	157
Madhya Pradesh	SH	Shahdol	Shahdol	1064989	6205	172
Madhya Pradesh	SJ	Shajapur	Shajapur	1512353	6196	244
Madhya Pradesh	SP	Sheopur	Sheopur	687952	6585	104
Madhya Pradesh	SV	Shivpuri	Shivpuri	1725818	10290	168
Madhya Pradesh	SI	Sidhi	Sidhi	1126515	10520	232
Madhya Pradesh	SN	Singrauli	Waidhan	1178132	5672	208
Madhya Pradesh	TI	Tikamgarh	Tikamgarh	1444920	5055	286
Madhya Pradesh	UJ	Ujjain	Ujjain	1986864	6091	356
Madhya Pradesh	UM	Umaria	Umaria	643579	4062	158
Madhya Pradesh	VI	Vidisha	Vidisha	1458212	7362	198
Maharashtra	AH	Ahmednagar	Ahmednagar	4543083	17048	266
Maharashtra	AK	Akola	Akola	1818617	5429	321
Maharashtra	AM	Amravati	Amravati	2887826	12235	237
Maharashtra	AU	Aurangabad	Aurangabad	3695928	10107	365
Maharashtra	BI	Beed	Beed	2585962	10693	242
Maharashtra	BH	Bhandara	Bhandara	1198810	3890	293
Maharashtra	BU	Buldhana	Buldhana	2588039	9661	268
Maharashtra	CH	Chandrapur	Chandrapur	2194262	11443	192
Maharashtra	DH	Dhule	Dhule	2048781	8095	285
Maharashtra	GA	Gadchiroli	Gadchiroli	1071795	14412	74
Maharashtra	GO	Gondia	Gondia	1322331	5431	253
Maharashtra	HI	Hingoli	Hingoli	1178973	4526	244
Maharashtra	JG	Jalgaon	Jalgaon	4224442	11765	359
Maharashtra	JN	Jalna	Jalna	1958483	7718	255
Maharashtra	KO	Kolhapur	Kolhapur	3874015	7685	504
Maharashtra	LA	Latur	Latur	2455543	7157	343
Maharashtra	MC	Mumbai City		3145966	69	20038
Maharashtra	MU	Mumbai suburban	Bandra (East)	9332481	369	20925
Maharashtra	ND	Nanded	Nanded	3356566	10528	319
Maharashtra	NB	Nandurbar	Nandurbar	1646177	5055	276
Maharashtra	NG	Nagpur	Nagpur	4653171	9892	470
Maharashtra	NS	Nashik	Nashik	6109052	15539	393
Maharashtra	OS	Osmanabad	Osmanabad	1660311	7569	219
Maharashtra	-	Palghar	Palghar			
Maharashtra	PA	Parbhani	Parbhani	1835982	6511	295
Maharashtra	PU	Pune	Pune	9426959	15643	603
Maharashtra	RG	Raigad	Alibag	2635394	7152	368
Maharashtra	RT	Ratnagiri	Ratnagiri	1612672	8208	196
Maharashtra	SN	Sangli	Sangli	2820575	8572	329
Maharashtra	ST	Satara	Satara	3003922	10475	287
Maharashtra	SI	Sindhudurg	Oros	848868	5207	163
Maharashtra	SO	Solapur	Solapur	4315527	14895	290
Maharashtra	TH	Thane	Thane	11060148	9558	1157
Maharashtra	WR	Wardha	Wardha	1296157	6309	205
Maharashtra	WS	Washim	Washim	1196714	5155	244
Maharashtra	YA	Yavatmal	Yavatmal	2775457	13582	204
Manipur	BI	Bishnupur	Bishnupur	240363	496	485
Manipur	CC	Churachandpur	Churachandpur	271274	4574	59
Manipur	CD	Chandel	Chandel	144028	3317	43
Manipur	EI	Imphal East	Porompat	452661	710	638
Manipur	SE	Senapati	Senapati	354972	3269	109
Manipur	TA	Tamenglong	Tamenglong	140143	4391	32
Manipur	TH	Thoubal	Thoubal	420517	514	818
Manipur	UK	Ukhrul	Ukhrul	183115	4547	40
Manipur	WI	Imphal West	Lamphelpat	514683	519	992
Meghalaya	EG	East Garo Hills	Williamnagar	317618	2603	121
Meghalaya	EK	East Khasi Hills	Shillong	824059	2752	292
Meghalaya		East Jaintia Hills	Khliehriat	122436	2115	
Meghalaya		North Garo Hills	Resubelpara	118325	1113	
Meghalaya	RB	Ri Bhoi	Nongpoh	258380	2378	109
Meghalaya	SG	South Garo Hills	Baghmara	142574	1850	77
Meghalaya		South West Garo Hills	Ampati			
Meghalaya		South West Khasi Hills	Mawkyrwat	110152	1341	
Meghalaya	WG	West Jaintia Hills	Jowai	270352	1693	
Meghalaya	WG	West Garo Hills	Tura	642923	3714	173
Meghalaya	WK	West Khasi Hills	Nongstoin	385601	5247	73
Mizoram	AI	Aizawl	Aizawl	404054	3577	113
Mizoram	CH	Champhai	Champhai	125370	3168	39
Mizoram	KO	Kolasib	Kolasib	83054	1386	60
Mizoram	LA	Lawngtlai	Lawngtlai	117444	2519	46
Mizoram	LU	Lunglei	Lunglei	154094	4572	34
Mizoram	MA	Mamit	Mamit	85757	2967	28
Mizoram	SA	Saiha	Saiha	56366	1414	40
Mizoram	SE	Serchhip	Serchhip	64875	1424	46
Nagaland	DI	Dimapur	Dimapur	379769	926	410
Nagaland	KI	Kiphire	Kiphire	74033	1255	66
Nagaland	KO	Kohima	Kohima	270063	1041	213
Nagaland	LO	Longleng	Longleng	50593	885	89
Nagaland	MK	Mokokchung	Mokokchung	193171	1615	120
Nagaland	MN	Mon	Mon	259604	1786	145
Nagaland	PE	Peren	Peren	163294	2300	55
Nagaland	PH	Phek	Phek	163294	2026	81
Nagaland	TU	Tuensang	Tuensang	414801	4228	98
Nagaland	WO	Wokha	Wokha	166239	1628	120
Nagaland	ZU	Zunheboto	Zunheboto	141014	1255	112
Odisha	AN	Angul	Angul	1271703	6347	199
Odisha	BD	Bauda	Boudh	439917	4289	142
Odisha	BH	Bhadrak	Bhadrak	1506522	2788	601
Odisha	BL	Balangir	Balangir	1648574	6552	251
Odisha	BR	Bargarh	Bargarh	1478833	5832	253
Odisha	BW	Balasore	Balasore	2317419	3706	609
Odisha	CU	Cuttack	Cuttack	2618708	3915	666
Odisha	DE	Debagarh(Deogarh)	Debagarh	312164	2781	106
Odisha	DH	Dhenkanal	Dhenkanal	1192948	4597	268
Odisha	GN	Ganjam	Chhatrapur	3520151	8033	429
Odisha	GP	Gajapati	Paralakhemundi	575880	3056	133
Odisha	JH	Jharsuguda	Jharsuguda	579499	2202	274
Odisha	JP	Jajpur	Panikoili	1826275	2885	630
Odisha	JS	Jagatsinghpur	Jagatsinghpur	1136604	1759	681
Odisha	KH	Khordha	Khordha	2246341	2888	799
Odisha	KJ	Kendujhar(Keonjhar)	Kendujhar	1802777	8336	217
Odisha	KL	Kalahandi	Bhawanipatna	1573054	8197	199
